iso_code,continent,population,location,median_age,classification,Overall_score,group,first_case,duration,status
PLW,Oceania,18084.0,Palau,35.7,UPPER-MIDDLE-INCOME,6.17,Flawed democracy,2021-08-22,148,True
PNG,Oceania,10142625.0,Papua New Guinea,22.6,LOWER-MIDDLE INCOME,6.03,Flawed democracy,2020-03-22,1520,False
POL,Europe,39857144.0,Poland,41.8,HIGH-INCOME,7.18,Flawed democracy,2020-03-08,232,True
PRI,North America,3252412.0,Puerto Rico,38.2,HIGH-INCOME,7.8,Flawed democracy,2020-03-15,246,True
PRT,Europe,10270857.0,Portugal,46.2,HIGH-INCOME,7.75,Flawed democracy,2020-02-23,253,True
PRY,South America,6780745.0,Paraguay,26.5,UPPER-MIDDLE-INCOME,6.0,Flawed democracy,2020-03-15,372,True
PSE,Asia,5250076.0,Palestine,20.4,UPPER-MIDDLE-INCOME,3.47,Authoritarian,2020-03-08,267,True
PYF,Oceania,306292.0,French Polynesia,32.7,HIGH-INCOME,6.41,Flawed democracy,2020-03-15,211,True
QAT,Asia,2695131.0,Qatar,31.9,HIGH-INCOME,3.65,Authoritarian,2020-03-01,64,True
REU,Africa,974062.0,Reunion,36.0,HIGH-INCOME,4.14,Hybrid regime,2020-03-15,505,True
ROU,Europe,19659270.0,Romania,43.0,HIGH-INCOME,6.45,Flawed democracy,2020-03-01,246,True
RUS,Europe,144713312.0,Russia,39.6,UPPER-MIDDLE-INCOME,2.22,Authoritarian,2020-01-05,666,True
RWA,Africa,13776702.0,Rwanda,20.3,LOW-INCOME,3.3,Authoritarian,2020-03-15,1527,False
SAU,Asia,36408824.0,Saudi Arabia,31.9,HIGH-INCOME,2.08,Authoritarian,2020-03-08,1534,False
SDN,Africa,46874200.0,Sudan,19.7,LOW-INCOME,2.47,Authoritarian,2020-03-15,1527,False
SEN,Africa,17316452.0,Senegal,18.7,LOWER-MIDDLE INCOME,5.48,Hybrid regime,2020-03-08,1534,False
SGP,Asia,5637022.0,Singapore,42.4,HIGH-INCOME,6.18,Flawed democracy,2020-01-26,610,True
SHN,Africa,5401.0,Saint Helena,51.5,LOW-INCOME,8.07,Full democracy,2022-08-14,8,True
SLB,Oceania,724272.0,Solomon Islands,20.8,LOWER-MIDDLE INCOME,7.16,Flawed democracy,2020-10-04,491,True
SLE,Africa,8605723.0,Sierra Leone,19.1,LOW-INCOME,4.32,Hybrid regime,2020-04-05,1506,False
SLV,North America,6336393.0,El Salvador,27.6,UPPER-MIDDLE-INCOME,4.71,Hybrid regime,2020-03-22,701,True
SMR,Europe,33690.0,San Marino,46.7,HIGH-INCOME,1.96,Authoritarian,2020-03-01,22,True
SOM,Africa,17597508.0,Somalia,16.8,LOW-INCOME,7.06,Flawed democracy,2020-03-22,1520,False
SPM,North America,5885.0,Saint Pierre and Miquelon,44.1,LOW-INCOME,7.18,Flawed democracy,2020-04-12,589,True
SRB,Europe,6871547.0,Serbia,41.2,UPPER-MIDDLE-INCOME,6.33,Flawed democracy,2020-03-08,246,True
SSD,Africa,10913172.0,South Sudan,19.2,LOW-INCOME,1.76,Authoritarian,2020-04-12,1499,False
STP,Africa,227393.0,Sao Tome and Principe,18.7,LOWER-MIDDLE INCOME,6.17,Flawed democracy,2020-04-12,638,True
SUR,South America,618046.0,Suriname,29.6,UPPER-MIDDLE-INCOME,6.88,Flawed democracy,2020-03-15,442,True
SVK,Europe,5643455.0,Slovakia,41.2,HIGH-INCOME,7.07,Flawed democracy,2020-03-08,225,True
SVN,Europe,2119843.0,Slovenia,44.5,HIGH-INCOME,7.75,Flawed democracy,2020-03-08,225,True
SWE,Europe,10549349.0,Sweden,41.0,HIGH-INCOME,9.39,Full democracy,2020-02-09,274,True
SWZ,Africa,1201680.0,Eswatini,21.5,LOWER-MIDDLE INCOME,2.78,Authoritarian,2020-03-15,505,True
SXM,North America,44192.0,Sint Maarten (Dutch part),47.0,HIGH-INCOME,2.22,Authoritarian,2020-03-22,148,True
SYC,Africa,107135.0,Seychelles,36.2,HIGH-INCOME,7.75,Flawed democracy,2020-03-15,302,True
SYR,Asia,22125242.0,Syria,21.7,LOW-INCOME,1.43,Authoritarian,2020-03-29,1513,False
TCA,North America,45726.0,Turks and Caicos Islands,37.7,HIGH-INCOME,7.05,Flawed democracy,2020-03-29,141,True
TCD,Africa,17723312.0,Chad,16.7,LOW-INCOME,1.67,Authoritarian,2020-03-22,1520,False
TGO,Africa,8848700.0,Togo,19.4,LOW-INCOME,2.99,Authoritarian,2020-03-08,1534,False
THA,Asia,71697024.0,Thailand,40.1,UPPER-MIDDLE-INCOME,6.35,Flawed democracy,2020-01-04,583,True
TJK,Asia,9952789.0,Tajikistan,23.3,LOWER-MIDDLE INCOME,1.94,Authoritarian,2020-05-03,1478,False
TKL,Oceania,1893.0,Tokelau,26.6,LOW-INCOME,7.05,Flawed democracy,2020-01-05,1079,True
TLS,Asia,1341298.0,Timor,18.0,LOWER-MIDDLE INCOME,7.06,Flawed democracy,2020-03-22,1520,False
TON,Oceania,106867.0,Tonga,22.3,UPPER-MIDDLE-INCOME,6.41,Flawed democracy,2021-10-31,127,True
TTO,North America,1531043.0,Trinidad and Tobago,36.2,HIGH-INCOME,7.16,Flawed democracy,2020-03-15,435,True
TUN,Africa,12356116.0,Tunisia,32.7,LOWER-MIDDLE INCOME,5.51,Hybrid regime,2020-03-08,477,True
TUR,Asia,85341248.0,Turkey,31.6,UPPER-MIDDLE-INCOME,4.33,Hybrid regime,2020-01-05,337,True
TUV,Oceania,11335.0,Tuvalu,25.0,UPPER-MIDDLE-INCOME,4.47,Hybrid regime,2022-05-22,169,True
TZA,Africa,65497752.0,Tanzania,17.7,LOWER-MIDDLE INCOME,5.35,Hybrid regime,2020-03-22,1520,False
UGA,Africa,47249588.0,Uganda,16.4,LOW-INCOME,4.49,Hybrid regime,2020-03-22,1520,False
UKR,Europe,39701744.0,Ukraine,41.4,LOWER-MIDDLE INCOME,5.06,Hybrid regime,2020-03-15,246,True
URY,South America,3422796.0,Uruguay,35.6,HIGH-INCOME,8.66,Full democracy,2020-03-15,309,True
USA,North America,338289856.0,United States,38.3,HIGH-INCOME,7.85,Flawed democracy,2020-01-05,309,True
UZB,Asia,34627648.0,Uzbekistan,28.2,LOWER-MIDDLE INCOME,2.12,Authoritarian,2020-01-05,1597,False
VAT,Europe,808.0,Vatican,57.6,LOW-INCOME,9.81,Full democracy,2020-01-05,85,True
VCT,North America,103959.0,Saint Vincent and the Grenadines,31.8,UPPER-MIDDLE-INCOME,6.62,Flawed democracy,2020-03-15,309,True
VEN,South America,28301700.0,Venezuela,29.0,UPPER-MIDDLE-INCOME,2.31,Authoritarian,2020-03-15,1527,False
VGB,North America,31332.0,British Virgin Islands,38.6,HIGH-INCOME,8.28,Full democracy,2020-03-29,463,True
VIR,North America,99479.0,United States Virgin Islands,42.2,HIGH-INCOME,7.96,Flawed democracy,2020-03-22,148,True
VNM,Asia,98186856.0,Vietnam,32.6,LOWER-MIDDLE INCOME,2.62,Authoritarian,2020-01-26,757,True
VUT,Oceania,326744.0,Vanuatu,23.1,LOWER-MIDDLE INCOME,8.66,Full democracy,2020-11-15,491,True
WLF,Oceania,11596.0,Wallis and Futuna,36.2,LOW-INCOME,9.28,Full democracy,2020-10-25,141,True
WSM,Oceania,222390.0,Samoa,22.0,LOWER-MIDDLE INCOME,4.98,Hybrid regime,2020-12-06,477,True
YEM,Asia,33696612.0,Yemen,20.3,LOW-INCOME,1.95,Authoritarian,2020-04-12,1499,False
ZAF,Africa,59893884.0,South Africa,27.3,UPPER-MIDDLE-INCOME,7.05,Flawed democracy,2020-01-09,368,True
ZMB,Africa,20017670.0,Zambia,17.7,LOWER-MIDDLE INCOME,5.8,Hybrid regime,2020-03-22,1520,False
ZWE,Africa,16320539.0,Zimbabwe,19.6,LOWER-MIDDLE INCOME,3.04,Authoritarian,2020-03-22,1520,False
